N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
4M	256	cuda_fake	aos	4	4096	32	1	2	1.24412	0.0741553
4M	256	cuda_fake	aos	4	4096	32	1	3	1.24544	0.0742341
4M	256	cuda_fake	aos	4	4096	32	1	4	1.24544	0.0742337
4M	256	cuda_fake	aos	4	4096	32	1	5	1.24511	0.0742143
4M	256	cuda_fake	aos	4	4096	64	1	1	1.25935	0.0750629
4M	256	cuda_fake	aos	4	4096	64	1	2	1.26001	0.0751025
4M	256	cuda_fake	aos	4	4096	64	1	3	1.26045	0.0751289
4M	256	cuda_fake	aos	4	4096	64	1	4	1.25938	0.0750648
4M	256	cuda_fake	aos	4	4096	64	1	5	1.26007	0.0751061
4M	256	cuda_fake	aos	16	16	1	1	1	32.6528	0.486564
4M	256	cuda_fake	aos	16	16	1	1	2	29.8845	0.445314
4M	256	cuda_fake	aos	16	16	1	1	3	29.8771	0.445204
4M	256	cuda_fake	aos	16	16	1	1	4	29.8858	0.445333
4M	256	cuda_fake	aos	16	16	1	1	5	29.8959	0.445483
4M	256	cuda_fake	aos	16	16	2	1	1	15.8455	0.236117
4M	256	cuda_fake	aos	16	16	2	1	2	15.8557	0.236268
4M	256	cuda_fake	aos	16	16	2	1	3	15.8507	0.236193
4M	256	cuda_fake	aos	16	16	2	1	4	15.8587	0.236313
4M	256	cuda_fake	aos	16	16	2	1	5	15.849	0.236169
4M	256	cuda_fake	aos	16	16	4	1	1	15.8544	0.236249
4M	256	cuda_fake	aos	16	16	4	1	2	15.8595	0.236325
4M	256	cuda_fake	aos	16	16	4	1	3	15.8604	0.236338
4M	256	cuda_fake	aos	16	16	4	1	4	15.8618	0.23636
4M	256	cuda_fake	aos	16	16	4	1	5	15.8713	0.2365
4M	256	cuda_fake	aos	16	16	8	1	1	8.82805	0.131548
4M	256	cuda_fake	aos	16	16	8	1	2	8.82278	0.13147
4M	256	cuda_fake	aos	16	16	8	1	3	8.83091	0.131591
4M	256	cuda_fake	aos	16	16	8	1	4	8.82956	0.131571
4M	256	cuda_fake	aos	16	16	8	1	5	8.83266	0.131617
4M	256	cuda_fake	aos	16	16	16	1	1	7.94118	0.118333
