N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
8M	256	cuda_fake	aos	4	1024	16	1	2	0.369486	0.0110115
8M	256	cuda_fake	aos	4	1024	16	1	3	0.369221	0.0110036
8M	256	cuda_fake	aos	4	1024	16	1	4	0.370012	0.0110272
8M	256	cuda_fake	aos	4	1024	16	1	5	0.369261	0.0110048
8M	256	cuda_fake	aos	4	1024	32	1	1	0.451788	0.0134643
8M	256	cuda_fake	aos	4	1024	32	1	2	0.451715	0.0134622
8M	256	cuda_fake	aos	4	1024	32	1	3	0.453263	0.0135083
8M	256	cuda_fake	aos	4	1024	32	1	4	0.45298	0.0134999
8M	256	cuda_fake	aos	4	1024	32	1	5	0.452602	0.0134886
8M	256	cuda_fake	aos	4	1024	64	1	1	0.37349	0.0111309
8M	256	cuda_fake	aos	4	1024	64	1	2	0.374396	0.0111579
8M	256	cuda_fake	aos	4	1024	64	1	3	0.374959	0.0111746
8M	256	cuda_fake	aos	4	1024	64	1	4	0.37416	0.0111508
8M	256	cuda_fake	aos	4	1024	64	1	5	0.3747	0.0111669
8M	256	cuda_fake	aos	4	4096	1	1	1	0.237461	0.00707689
8M	256	cuda_fake	aos	4	4096	1	1	2	0.237673	0.00708321
8M	256	cuda_fake	aos	4	4096	1	1	3	0.236793	0.00705698
8M	256	cuda_fake	aos	4	4096	1	1	4	0.236754	0.00705582
8M	256	cuda_fake	aos	4	4096	1	1	5	0.237162	0.00706798
8M	256	cuda_fake	aos	4	4096	2	1	1	0.366625	0.0109263
8M	256	cuda_fake	aos	4	4096	2	1	2	0.367148	0.0109419
8M	256	cuda_fake	aos	4	4096	2	1	3	0.367009	0.0109377
8M	256	cuda_fake	aos	4	4096	2	1	4	0.3668	0.0109315
8M	256	cuda_fake	aos	4	4096	2	1	5	0.367014	0.0109379
8M	256	cuda_fake	aos	4	4096	4	1	1	0.367699	0.0109583
8M	256	cuda_fake	aos	4	4096	4	1	2	0.367184	0.0109429
8M	256	cuda_fake	aos	4	4096	4	1	3	0.367752	0.0109599
8M	256	cuda_fake	aos	4	4096	4	1	4	0.367995	0.0109671
8M	256	cuda_fake	aos	4	4096	4	1	5	0.368057	0.010969
8M	256	cuda_fake	aos	4	4096	8	1	1	0.368031	0.0109682
8M	256	cuda_fake	aos	4	4096	8	1	2	0.368494	0.010982
8M	256	cuda_fake	aos	4	4096	8	1	3	0.368895	0.0109939
8M	256	cuda_fake	aos	4	4096	8	1	4	0.369561	0.0110138
8M	256	cuda_fake	aos	4	4096	8	1	5	0.369028	0.0109979
8M	256	cuda_fake	aos	4	4096	16	1	1	0.369532	0.0110129
8M	256	cuda_fake	aos	4	4096	16	1	2	0.369559	0.0110137
8M	256	cuda_fake	aos	4	4096	16	1	3	0.369564	0.0110139
8M	256	cuda_fake	aos	4	4096	16	1	4	0.369061	0.0109989
8M	256	cuda_fake	aos	4	4096	16	1	5	0.369108	0.0110003
8M	256	cuda_fake	aos	4	4096	32	1	1	0.370602	0.0110448
8M	256	cuda_fake	aos	4	4096	32	1	2	0.370681	0.0110472
8M	256	cuda_fake	aos	4	4096	32	1	3	0.37231	0.0110957
8M	256	cuda_fake	aos	4	4096	32	1	4	0.371086	0.0110592
8M	256	cuda_fake	aos	4	4096	32	1	5	0.371083	0.0110591
8M	256	cuda_fake	aos	4	4096	64	1	1	0.37712	0.0112391
8M	256	cuda_fake	aos	4	4096	64	1	2	0.3761	0.0112087
8M	256	cuda_fake	aos	4	4096	64	1	3	0.375321	0.0111854
8M	256	cuda_fake	aos	4	4096	64	1	4	0.379951	0.0113234
8M	256	cuda_fake	aos	4	4096	64	1	5	0.375527	0.0111916
8M	256	cuda_fake	aos	16	16	1	1	1	13.7448	0.102407
8M	256	cuda_fake	aos	16	16	1	1	2	12.7024	0.0946405
8M	256	cuda_fake	aos	16	16	1	1	3	13.7394	0.102367
